127.0.0.1 - - [02/Jun/2024:14:51:53 +0000] "POS/HTTP/1.1" 501 339
127.0.0.1 - - [02/Jun/2024:14:54:45 +0000] "GET/HTTP/1.1" 200 1009
127.0.0.1 - - [02/Jun/2024:14:54:57 +0000] "HEAD/HTTP/1.1" 200 205
127.0.0.1 - - [02/Jun/2024:14:57:37 +0000] "Bad request" 400 0
127.0.0.1 - - [08/Jun/2024:15:43:57 +0000] "GET/HTTP/1.1" 200 337
127.0.0.1 - - [08/Jun/2024:15:44:59 +0000] "HEAD/HTTP/1.1" 200 338
127.0.0.1 - - [08/Jun/2024:15:44:59 +0000] "DELETE/~prs/15-441-F15/HTTP/1.1" 501 356
127.0.0.1 - - [08/Jun/2024:15:44:59 +0000] "GET/HTTP/1.1" 200 337
127.0.0.1 - - [08/Jun/2024:15:45:30 +0000] "HEAD/HTTP/1.1" 200 338
127.0.0.1 - - [08/Jun/2024:15:45:30 +0000] "DELETE/~prs/15-441-F15/HTTP/1.1" 501 356
127.0.0.1 - - [08/Jun/2024:15:45:30 +0000] "GET/HTTP/1.1" 200 337
127.0.0.1 - - [08/Jun/2024:15:47:21 +0000] "HEAD/HTTP/1.1" 200 338
127.0.0.1 - - [08/Jun/2024:15:47:21 +0000] "DELETE/~prs/15-441-F15/HTTP/1.1" 501 356
127.0.0.1 - - [08/Jun/2024:15:47:21 +0000] "GET/HTTP/1.1" 200 337
127.0.0.1 - - [08/Jun/2024:15:47:48 +0000] "HEAD/HTTP/1.1" 200 333
127.0.0.1 - - [08/Jun/2024:15:47:48 +0000] "DELETE/~prs/15-441-F15/HTTP/1.1" 501 356
127.0.0.1 - - [08/Jun/2024:15:47:48 +0000] "GET/HTTP/1.1" 200 337
127.0.0.1 - - [08/Jun/2024:15:49:10 +0000] "HEAD/HTTP/1.1" 200 338
127.0.0.1 - - [08/Jun/2024:15:49:10 +0000] "DELETE/~prs/15-441-F15/HTTP/1.1" 501 356
127.0.0.1 - - [08/Jun/2024:15:49:10 +0000] "GET/HTTP/1.1" 200 337
127.0.0.1 - - [08/Jun/2024:15:50:24 +0000] "HEAD/HTTP/1.1" 200 338
127.0.0.1 - - [08/Jun/2024:15:50:24 +0000] "DELETE/~prs/15-441-F15/HTTP/1.1" 501 356
